ID,PROF_DEV,C_EXP,C_IDE,ASM_EXP,RE_EXP,C_DEBUG,ASM_DEBUG
78,"Yes, full-time",6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
79,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",
80,No,6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
81,No,2 Years,2 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Inspect the program variables"
82,"Yes, full-time",> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
83,No,6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
84,"Yes, part-time",> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
85,No,1 Year,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
86,No,1 Year,1 Year,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
87,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Execute the program stepwise, Inspect the program variables"
88,No,6 Months,Never,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise"
89,No,6 Months,1 Year,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",
90,No,1 Year,1 Year,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
91,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
92,No,2 Years,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
93,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
94,"Yes, full-time",1 Year,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Execute the program stepwise, Inspect the call stack, Inspect the program variables"
95,No,1 Year,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
96,"Yes, part-time",< 3 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
97,No,< 3 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",Add breakpoints
98,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
99,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
100,No,< 3 Months,6 Months,< 3 Months,< 3 Months,,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
101,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
102,No,< 3 Months,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
103,No,1 Year,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
104,No,6 Months,6 Months,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise"
105,No,> 3 Years,> 3 Years,> 3 Years,2 Years,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
106,No,6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Inspect the program variables",
107,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
108,No,> 3 Years,1 Year,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
109,No,< 3 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
110,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
111,"Yes, part-time",> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
112,No,2 Years,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
113,No,1 Year,Never,6 Months,< 3 Months,Add breakpoints,
114,No,1 Year,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise"
115,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
116,No,2 Years,2 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Inspect the program variables"
117,"Yes, part-time",1 Year,1 Year,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",
118,No,> 3 Years,> 3 Years,2 Years,1 Year,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
119,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
120,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
121,"Yes, part-time",2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",
122,No,> 3 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
123,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
124,No,2 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
125,"Yes, part-time",6 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
126,No,6 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
127,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
128,"Yes, part-time",6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise"
129,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
130,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
131,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
132,No,> 3 Years,1 Year,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
133,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",
134,No,2 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",
135,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
136,No,6 Months,6 Months,6 Months,< 3 Months,"Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack"
137,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",
138,"Yes, part-time",> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
139,No,2 Years,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
140,"Yes, part-time",> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack"
141,No,2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
142,"Yes, part-time",6 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
143,"Yes, part-time",< 3 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
144,No,6 Months,Never,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise"
145,No,> 3 Years,Never,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
146,No,1 Year,1 Year,< 3 Months,6 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise"
147,"Yes, part-time",> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
148,No,2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise"
149,No,2 Years,2 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
150,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
151,No,1 Year,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise"
152,No,2 Years,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
NA,No,6 Months,Never,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise, Inspect the program variables"
NA,No,2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
NA,"Yes, part-time",6 Months,6 Months,6 Months,2 Years,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
NA,No,6 Months,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables"
NA,No,< 3 Months,> 3 Years,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables"
NA,"Yes, part-time",6 Months,1 Year,6 Months,< 3 Months,"Execute the program stepwise, Inspect the program variables",Inspect the call stack
NA,No,1 Year,1 Year,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",
