ID,Period,AppZip,SUCCEEDED,TIME,TIME_IDE,TIME_DBG,TIME_SEARCH,TASK_CLEAR,ENOUGH_TIME,TASK_EASY,IDE,DBG,MAIN_ACTIVITY
1,2,number-2.3.zip,Yes,65,70,45,5,4,4,3,Xcode,gdb (integrated in IDE),Inspecting the execution by means of the debugger
1,3,tictactoe-3.4.zip,Yes,50,50,20,5,4,4,4,Xcode,gdb (integrated in IDE),Reading and understanding the source code
2,2,arithmetic-2.2.zip,No,70,70,60,0,2,4,4,DEV-C++,DEV-C++,Inspecting the execution by means of the debugger
2,3,tictactoe-3.4.zip,No,68,68,50,5,1,3,4,DEV-C++,DEV-C++,Inspecting the execution by means of the debugger
3,2,arithmetic-2.4.zip,Yes,35,10,25,0,1,1,2,CLion,integrato,Inspecting the execution by means of the debugger
3,3,number-3.3.zip,Yes,25,10,15,0,1,1,2,Clion,integrato,Reading and understanding the source code
4,2,tictactoe-2.4.zip,No,70,20,50,0,1,3,5,CLion,LLdb,Inspecting the execution by means of the debugger
4,3,number-3.2.zip,Yes,15,3,12,0,1,1,1,CLion,LLdb,Inspecting the execution by means of the debugger
5,2,tictactoe-2.3.zip,Yes,40,15,25,0,1,1,1,CLion,Integrato,Inspecting the execution by means of the debugger
5,3,number-3.4.zip,Yes,46,20,25,1/2,2,1,2,CLion,Integrato,Reading and understanding the source code
6,2,tictactoe-2.2.zip,Yes,35,25,10,0,1,1,1,CLion,MinGW,Reading and understanding the source code
6,3,number-3.4.zip,Yes,40,20,20,0,1,1,3,CLion,MinGW,Inspecting the execution by means of the debugger
7,2,number-2.4.zip,Yes,60,10,50,,3,3,3,Xcode,Xcode debugger,Inspecting the execution by means of the debugger
7,3,tictactoe-3.3.zip,Yes,60,10,60,,3,2,2,Xcode,Xcode debugger,Changing the execution by means of the debugger
8,2,arithmetic-2.3.zip,No,60,25,35,5,2,4,5,Codeblocks,gdb,Inspecting the execution by means of the debugger
8,3,tictactoe-3.4.zip,No,70,30,40,,3,5,5,Codeblocks,gdb,Inspecting the execution by means of the debugger
9,2,arithmetic-2.2.zip,Yes,30,5,25,1,2,1,3,CLion,GDB (integrato clion),Inspecting the execution by means of the debugger
9,3,tictactoe-3.4.zip,Yes,40,10,30,0,2,1,4,CLion,GDB (integrato in Clion),Reading and understanding the source code
10,2,tictactoe-2.4.zip,Yes,50,25,35,0,1,1,2,CodeBlock,"gdb, integrated in codeblocks",Inspecting the execution by means of the debugger
10,3,arithmetic-3.3.zip,Yes,60,20,40,0,1,1,3,CodeBlocks,gdb,Inspecting the execution by means of the debugger
11,2,tictactoe-2.4.zip,Yes,65,65,60,0,1,2,1,CLion,MingGW-w64 GDB,Reading and understanding the source code
11,3,arithmetic-3.2.zip,Yes,25,25,20,0,5,1,3,CLion,Mingw-w64 GDB,Inspecting the execution by means of the debugger
12,2,tictactoe-2.3.zip,Yes,60,10,55,,2,1,3,,gdb,Inspecting the execution by means of the debugger
12,3,arithmetic-3.4.zip,No,65,,55,,1,3,5,,gdb,Inspecting the execution by means of the debugger
13,2,tictactoe-2.2.zip,No,70,65,30,5,3,3,4,codeblocks,codeblocks debugger,Inspecting the execution by means of the debugger
13,3,arithmetic-3.4.zip,No,70,70,30,10,5,5,5,Codeblocks,Codeblocks debugger ,Reading and understanding the source code
14,2,arithmetic-2.4.zip,No,70,5,65,,4,5,5,code block,gcc,Inspecting the execution by means of the debugger
14,3,tictactoe-3.3.zip,Yes,60,20,45,0,3,2,3,code block,gcc,Inspecting the execution by means of the debugger
15,2,arithmetic-2.4.zip,Yes,65,45,20,,2,2,4,CLion,GDB,Reading and understanding the source code
15,3,tictactoe-3.2.zip,No,70,25,45,,2,4,4,CLion,GDB,Inspecting the execution by means of the debugger
16,2,number-2.3.zip,No,65,60,50,0,4,2,2,CodeBlocks,GDB,Inspecting the execution by means of the debugger
16,3,arithmetic-3.4.zip,Yes,50,45,35,0,4,4,3,CodeBlocks,GDB,Inspecting the execution by means of the debugger
17,2,number-2.2.zip,Yes,65,65,40,2,1,2,4,Xcode,integrated in Xcode,Inspecting the execution by means of the debugger
17,3,arithmetic-3.4.zip,No,70,70,60,0,1,5,5,Xcode,Integrated,Inspecting the execution by means of the debugger
18,2,arithmetic-2.4.zip,No,70,35,25,10,1,4,5,CLion,Cygwin,Reading and understanding the source code
18,3,number-3.3.zip,No,70,45,20,5,1,4,4,CLion,Cygwin,Reading and understanding the source code
19,2,arithmetic-2.4.zip,No,65,50,15,5,1,4,5,CLion,GDB,Reading and understanding the source code
19,3,number-3.2.zip,Yes,30,15,13,2,1,1,3,CLion,GDB,Inspecting the execution by means of the debugger
20,2,arithmetic-2.3.zip,No,60,60,37,,2,4,5,Clion,Bundled LLDB,Inspecting the execution by means of the debugger
20,3,number-3.4.zip,No,50,50,40,,2,4,4,Clion,Bundled LLDB,Inspecting the execution by means of the debugger
21,2,arithmetic-2.2.zip,No,70,4,66,0,4,4,4,CLion,integrated,Inspecting the execution by means of the debugger
21,3,arithmetic-3.2.zip,No,65,15,40,0,2,4,3,CLion,integrated,Inspecting the execution by means of the debugger
22,2,number-2.4.zip,No,35,,15,5,1,2,4,,gdb (by terminal),Reading and understanding the source code
22,3,arithmetic-3.3.zip,No,35,,,,3,5,5,,gdb (by terminal),Reading and understanding the source code
23,2,number-2.4.zip,No,65,47,15,3,2,3,4,XCode,XCode (IDE+debugger),Reading and understanding the source code
23,3,arithmetic-3.2.zip,No,70,60,10,0,2,3,4,XCode,XCode (IDE + debugger),Reading and understanding the source code
24,2,number-2.3.zip,Yes,45,30,15,0,5,3,4,codeblocks,GNU GCC,Reading and understanding the source code
24,3,tictactoe-3.4.zip,Yes,20,20,0,0,1,1,3,code blocks,GNU GCC,Reading and understanding the source code
25,2,number-2.2.zip,No,30,20,10,0,1,4,4,Clion,GDB debugger,Reading and understanding the source code
25,3,tictactoe-3.4.zip,No,60,15,40,5,1,3,3,Clion,GDB,Inspecting the execution by means of the debugger
26,2,tictactoe-2.4.zip,Yes,58,5,52,1,1,2,3,CodeBlocks,gcc (in IDE),Inspecting the execution by means of the debugger
26,3,number-3.3.zip,Yes,24,2,22,0,1,1,2,CodeBlocks,gcc (in IDE),Inspecting the execution by means of the debugger
27,2,number-2.4.zip,Yes,69,69,65,0,1,2,3,codeblocks,gdb,Inspecting the execution by means of the debugger
27,3,number-3.2.zip,Yes,27,27,23,0,1,1,1,codeblocks,gdb,Inspecting the execution by means of the debugger
28,2,tictactoe-2.3.zip,Yes,70,5,65,0,1,1,3,CLion,LLDB embedded in CLION,Inspecting the execution by means of the debugger
28,3,number-3.4.zip,No,70,5,65,0,1,4,4,CLion,LLDB embedded in CLion,Inspecting the execution by means of the debugger
29,2,tictactoe-2.2.zip,Yes,70,50,20,0,4,4,3,CodeBlocks,GCC,Reading and understanding the source code
29,3,number-3.4.zip,No,50,40,10,0,2,4,2,Codeblocks,Debugger integrato a codeblocks,Reading and understanding the source code
30,2,number-2.4.zip,Yes,60,15,40,5,2,3,2,CLion,Bundled GDB,Inspecting the execution by means of the debugger
30,3,tictactoe-3.3.zip,Yes,60,15,45,0,2,2,3,CLion,Bundled GDB,Inspecting the execution by means of the debugger
31,2,number-2.4.zip,Yes,30,5,25,0,1,1,1,Visual Studio Code,GDB,Inspecting the execution by means of the debugger
31,3,tictactoe-3.2.zip,Yes,25,5,20,0,1,1,1,Visual Studio Code,GDB,Inspecting the execution by means of the debugger
32,2,arithmetic-2.3.zip,Yes,15,2,13,0,1,1,2,Codeblocks,Codeblocks,Inspecting the execution by means of the debugger
32,3,tictactoe-3.4.zip,Yes,60,,60,0,1,3,5,Codeblocks,Codeblocks,Inspecting the execution by means of the debugger
33,2,arithmetic-2.2.zip,Yes,12,3,9,0,1,1,1,Visual Studio 2019,Local Windows Debugger (integrated in VS),Inspecting the execution by means of the debugger
33,3,tictactoe-3.4.zip,Yes,48,10,38,0,1,1,3,Visual Studio 2019,Local Windows debugger (integrated in VS),Inspecting the execution by means of the debugger
34,2,tictactoe-2.4.zip,Yes,65,10,55,1 (ASCII code),4,3,4,Jetbrians CLion,GDB inside IDE,Inspecting the execution by means of the debugger
34,3,arithmetic-3.3.zip,Yes,28,14,14,,1,1,1,Jetbrians CLion,GDB inside IDE,Inspecting the execution by means of the debugger
35,2,tictactoe-2.4.zip,Yes,70,10,60,0,1,2,2,dev c++,50,Inspecting the execution by means of the debugger
35,3,arithmetic-3.2.zip,Yes,70,5,65,5,1,2,1,devc++,30,Inspecting the execution by means of the debugger
36,2,tictactoe-2.3.zip,Yes,40,10,30,0,1,1,2,CLion,Cygwin GDB,Inspecting the execution by means of the debugger
36,3,arithmetic-3.4.zip,Yes,20,5,10,5,1,1,3,CLion,Cygwin GDB,Inspecting the execution by means of the debugger
37,2,tictactoe-2.2.zip,Yes,60,15,45,,2,1,3,clion,Cygwin64,Changing the execution by means of the debugger
37,3,arithmetic-3.4.zip,No,65,15,50,,2,2,5,clion,cygwin64,Inspecting the execution by means of the debugger
38,2,arithmetic-2.4.zip,No,65,20,45,0,3,4,5,dev-c++,gdb,Inspecting the execution by means of the debugger
38,3,tictactoe-3.3.zip,Yes,35,10,25,0,1,1,2,dev-c++,gdb,Inspecting the execution by means of the debugger
39,2,arithmetic-2.4.zip,Yes,65,10,55,0,1,2,4,CodeBlocks,GDB,Inspecting the execution by means of the debugger
39,3,tictactoe-3.2.zip,No,70,5,65,0,1,3,4,CodeBlocks,GDB,Changing the execution by means of the debugger
40,2,number-2.3.zip,Yes,55,55,45,0,1,2,4,Dev-C++,TDM-GCC ,Inspecting the execution by means of the debugger
40,3,arithmetic-3.4.zip,No,50,15,35,0,1,5,5,Dev C++,GCC,Inspecting the execution by means of the debugger
41,2,number-2.2.zip,Yes,40,10,30,,1,1,3,CodeBlocks,gdb,Inspecting the execution by means of the debugger
41,3,arithmetic-3.4.zip,No,70,15,55,,1,3,5,CodeBlocks,gdb,Inspecting the execution by means of the debugger
42,2,arithmetic-2.4.zip,Yes,70,20,50,,1,3,4,CLion,Integrated CLion,Reading and understanding the source code
42,3,number-3.3.zip,Yes,40,25,15,,1,1,1,CLion,Integrated CLion,Reading and understanding the source code
43,2,arithmetic-2.4.zip,No,70,70,70,0,2,5,1,Clio,,Inspecting the execution by means of the debugger
43,3,arithmetic-3.2.zip,Yes,15,15,10,0,1,1,1,Clion,,Inspecting the execution by means of the debugger
44,2,arithmetic-2.3.zip,Yes,65,55,10,,1,2,2,Visual Studio 2015,Local Windows Debugger,Inspecting the execution by means of the debugger
44,3,number-3.4.zip,Yes,55,45,5,5,1,1,1,Visual Studio 2015,Local Windows Debugger,Inspecting the execution by means of the debugger
45,2,arithmetic-2.2.zip,No,70,10,60,0,1,2,5,CLion,CLion integrated debugger,Inspecting the execution by means of the debugger
45,3,number-3.4.zip,No,70,5,65,0,1,3,5,CLion,Integrated Clion debugger + gdb (IMPORTANT NOTE: I used gdb also for the other 2 tasks but I forgot to mention it!),Inspecting the execution by means of the debugger
46,2,number-2.4.zip,Yes,70,60,10,,1,3,5,Visual Studio,debugger integrated in Visual Studio,Reading and understanding the source code
46,3,arithmetic-3.3.zip,No,70,60,10,,1,4,5,Visual Studio,integrated debugger in Visual Studio,Reading and understanding the source code
47,2,number-2.4.zip,No,70,40,35,0,3,3,4,CodeBlocks,gdb,Inspecting the execution by means of the debugger
47,3,arithmetic-3.2.zip,Yes,12,3,6,0,1,1,1,CodeBlocks,gdb (integrato in codeblocks),Inspecting the execution by means of the debugger
48,2,number-2.3.zip,No,70,30,30,10,4,3,3,Clion,CMake con MinGW,Changing the execution by means of the debugger
48,3,tictactoe-3.4.zip,No,70,40,40,10,3,2,2,CLion,CMake MinGW,Inspecting the execution by means of the debugger
49,2,number-2.2.zip,No,70,10,50,10,5,5,4,visualStudio2015,LocalWindowsDebugger,Reading and understanding the source code
49,3,tictactoe-3.4.zip,No,70,10,60,0,5,5,4,VisualStudio2015,LocalWindowsDebugger,Reading and understanding the source code
50,2,tictactoe-2.4.zip,Yes,35,5,30,0,2,1,2,CodeBlocks,CodeBlocks,Inspecting the execution by means of the debugger
50,3,number-3.3.zip,Yes,45,5,40,0,1,1,2,CodeBlocks,CodeBlocks,Inspecting the execution by means of the debugger
51,2,tictactoe-2.4.zip,Yes,30,5,30,0,1,1,2,Visual Studio 2019,Integrated in IDE,Inspecting the execution by means of the debugger
51,3,number-3.2.zip,Yes,17,5,11,1,1,1,1,Visual Studio 2019,Integrated in IDE,Inspecting the execution by means of the debugger
52,2,tictactoe-2.3.zip,Yes,34,34,30,0,1,1,2,Codeblocks + vscode,gdb,Inspecting the execution by means of the debugger
52,3,number-3.4.zip,Yes,5,6,,0,1,1,1,Codeblocks + vscode,,Reading and understanding the source code
53,2,tictactoe-2.2.zip,Yes,40,20,20,0,1,1,1,CLion,GDB in Clion,Reading and understanding the source code
53,3,number-3.4.zip,No,70,30,40,0,1,4,5,Clion,GDB in CLion,Inspecting the execution by means of the debugger
54,2,number-2.4.zip,No,70,7,63,0,1,3,3,clion,clion,Inspecting the execution by means of the debugger
54,3,tictactoe-3.3.zip,Yes,65,13,52,0,1,2,2,Clion,clion,Changing the execution by means of the debugger
55,2,number-2.4.zip,Yes,25,5,18,2,5,5,3,CodeBlocks,GDB (integrated in codeblocks),Inspecting the execution by means of the debugger
55,3,tictactoe-3.2.zip,No,35,5,30,0,2,3,4,Codeblocks,GDB (integrated with codeblocks),Inspecting the execution by means of the debugger
56,2,arithmetic-2.3.zip,Yes,70,8,60,2,1,2,3,Codeblocks,debug integrato in Codeblock,Inspecting the execution by means of the debugger
56,3,tictactoe-3.4.zip,Yes,64,10,54,,1,1,3,Codeblocks,Debugger integrato in codeblock,Inspecting the execution by means of the debugger
57,2,arithmetic-2.2.zip,No,40,10,30,0,2,4,3,Codeblocks,GDB,Changing the execution by means of the debugger
57,3,tictactoe-3.4.zip,No,65,20,45,0,4,3,3,Codeblocks,GDB,Changing the execution by means of the debugger
58,2,tictactoe-2.4.zip,Yes,45,35,10,0,2,2,3,Visual Studio 2015,Visual Studio,Reading and understanding the source code
58,3,arithmetic-3.2.zip,Yes,20,7,10,2,2,1,3,Visual Studio 2015,Visual Studio,Inspecting the execution by means of the debugger
59,2,tictactoe-2.3.zip,Yes,55,30,30,,5,5,3,CodeBloks,Integrated in CodeBlocks,Inspecting the execution by means of the debugger
59,3,arithmetic-3.4.zip,No,50,30,20,,1,3,5,CodeBlocks,Integrated in CodeBlocks,Reading and understanding the source code
60,2,tictactoe-2.2.zip,Yes,70,35,35,0,4,5,3,CLion,Integrato (MinGW),Inspecting the execution by means of the debugger
60,3,arithmetic-3.4.zip,No,70,40,30,0,5,3,5,CLion,Integrato (MinGW),Reading and understanding the source code
61,2,arithmetic-2.4.zip,No,70,50,20,0,1,3,5,CLion,integrato in Clion,Reading and understanding the source code
61,3,tictactoe-3.3.zip,Yes,19,14,5,,3,2,2,Clion,integrato in Clion,Reading and understanding the source code
62,2,arithmetic-2.4.zip,No,70,20,50,,2,5,5,CLion,integrato,Inspecting the execution by means of the debugger
62,3,tictactoe-3.2.zip,Yes,50,10,50,,3,2,4,CLion,integrato,Inspecting the execution by means of the debugger
63,2,number-2.3.zip,No,50,10,37,3,2,2,3,VisualStudio2019,,Inspecting the execution by means of the debugger
63,3,arithmetic-3.4.zip,No,70,15,55,,4,3,5,VisualStudio2019,,Inspecting the execution by means of the debugger
64,2,number-2.2.zip,Yes,40,10,30,0,1,1,3,Clion,Debugger integrato in Clion,Inspecting the execution by means of the debugger
64,3,arithmetic-3.4.zip,No,70,20,50,0,2,5,5,Clion,Debugger integrato in Clion,Inspecting the execution by means of the debugger
65,2,arithmetic-2.4.zip,Yes,30,5,25,,2,2,4,CLion,gdb,Inspecting the execution by means of the debugger
65,3,number-3.3.zip,Yes,20,20,15,,3,1,4,CLion,gdb,Inspecting the execution by means of the debugger
66,2,arithmetic-2.4.zip,No,60,20,40,,4,2,2,CLion,gdb,Inspecting the execution by means of the debugger
66,3,number-3.2.zip,Yes,15,10,5,,4,5,5,CLion,gbd,Reading and understanding the source code
67,2,arithmetic-2.3.zip,Yes,17,15,14,0,1,1,2,Xcode,Xcode default (gdb),Inspecting the execution by means of the debugger
67,3,number-3.4.zip,Yes,5,5,5,0,1,1,2,Xcode,Xcode default (gdb),Changing the execution by means of the debugger
68,2,arithmetic-2.2.zip,Yes,28,5,20,3,1,1,2,Dev C++,TDM-GCC 4.9.2 64 bit,Inspecting the execution by means of the debugger
68,3,arithmetic-3.4.zip,Yes,37,10,27,0,1,1,2,Dev C++,TDM-GCC 4.9.2,Inspecting the execution by means of the debugger
69,2,number-2.4.zip,Yes,20,20,15,0,3,3,3,codeblocks,si,Inspecting the execution by means of the debugger
69,3,arithmetic-3.3.zip,Yes,20,20,15,,2,3,2,codeblock,si,Inspecting the execution by means of the debugger
70,2,number-2.4.zip,Yes,30,20,10,0,3,3,3,CodeBlocks,gdb,Inspecting the execution by means of the debugger
70,3,arithmetic-3.2.zip,Yes,40,40,30,0,3,3,3,CodeBlocks,gbd,Inspecting the execution by means of the debugger
71,2,number-2.3.zip,No,70,70,,,1,3,3,codebjocks,,Inspecting the execution by means of the debugger
71,3,tictactoe-3.4.zip,No,65,65,,,1,2,5,codeblocks,,Inspecting the execution by means of the debugger
72,2,number-2.2.zip,Yes,25,5,20,,1,1,2,Code::Blocks 17.12,gdb integrated in Code::Blocks,Changing the execution by means of the debugger
72,3,tictactoe-3.4.zip,Yes,55,15,45,,3,3,4,Code::Blocks 17.12,gdb integrated in Code:Blocks,Inspecting the execution by means of the debugger
73,2,tictactoe-2.4.zip,Yes,54,50,35,,1,1,1,Code::Blocks,gdb,Changing the execution by means of the debugger
73,3,number-3.3.zip,Yes,20,18,15,,1,1,1,Code::Blocks,gdb,Changing the execution by means of the debugger
74,2,tictactoe-2.4.zip,Yes,65,35,30,0,5,5,3,cLion,LLDB 9.0,Inspecting the execution by means of the debugger
74,3,number-3.2.zip,Yes,30,15,15,0,5,5,5,cLion,LLDB 9.0,Inspecting the execution by means of the debugger
75,2,tictactoe-2.3.zip,Yes,65,65,50,0,1,2,2,clion,clion debug,Inspecting the execution by means of the debugger
