id,Score,Have you ever worked as a professional programmer (in industry or in a computer house)?,What is your cumulative programming experience in C? ,How long have you been using an IDE for C programming? ,What is your cumulative programming experience in assembly?,What is your cumulative programming experience with reverse engineering? ,Can you do the following actions on a C debugger (multiple answers allowed)?,Can you do the following actions on an assembly-level debugger (multiple answers allowed)?,1. What is the output of the following code?  ,2. Which of the following set of statements is correct?,3. By default a real number is treated as,"4. How many times the following program will print ""Jamboree""? ",5. Is it true that too many recursive calls may result into stack overflow?,6. What is the output of the following program?,7. Predict the output of the following program.,8. Predict the output of the following program ,9. The library function used to reverse the string is,10. Malloc( ) allocates memory from the heap and not from the stack,1. What will be output of the following program?,2. What is the output of the following function?,3. What will be the output of  the following program? ,4. What will be the output of the following program? ,5. What is the output of the following piece of code? ,6. What is the output of following program? ,7. What is the output of the following program? ,8. What would be the output if option = 'H' ?,9. What is the output of following piece of program?,10. What is the output of following program?,11. what is the output of following program?,12. How many times the below loop will get executed?  ,13. What is the output of following program? ,"14. Referring to the sample here below, what is MAX_NUM?"
116,10,No,2 Years,2 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,25,Ack,Sales\0man,Strrev( ),1,30.0,3,11 21 31 41,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 12,120.0,infinite loop,error,MAX_NUM is a precompiler constant.
98,20,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,2,20 30 40 50,ls,error,12,1 2 3 4 5 6 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,10,B E,MAX_NUM is a preprocessor macro.
146,11,No,1 Year,1 Year,< 3 Months,6 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise",Error,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales\0man,None of the above,1,10.0,2,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 11,120.0,1,B C E,MAX_NUM is a preprocessor macro.
107,11,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Double,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,30.0,4,10 20 30 40,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,22.0,1,B E,MAX_NUM is a precompiler constant.
51,20,No,1 Year,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack",Garbage values,Typedef long a; extern int a c;,Double,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,3,20 30 40 50,ls,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
91,18,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,5,21 31 41 51,ls,A B C,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,1,B E,MAX_NUM is a preprocessor macro.
103,11,No,1 Year,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ack,Sales,Strrev( ),1,30.0,3,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,22.0,1,error,MAX_NUM is a precompiler constant.
2,15,No,2 Years,1 Year,6 Months,6 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Double,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,30.0,2,20 30 40 50,ls,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,10,B E,MAX_NUM is a preprocessor macro.
149,11,No,2 Years,2 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Double,Until the stack doesn't overflow,1.0,25,Let,Sales,None of the above,1,30.0,3,20 30 40 50,Compilation Error,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,102.0,1,error,MAX_NUM is a preprocessor macro.
34,16,"Yes, full-time",6 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern int a c;,Double,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,30.0,4,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,120.0,10,error,MAX_NUM is a preprocessor macro.
6,14,No,1 Year,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,30.0,2,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
33,13,No,> 3 Years,2 Years,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Error,Typedef long a; extern int a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,30.0,3,20 30 40 50,ls,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,infinite loop,error,MAX_NUM is a precompiler constant.
118,16,No,> 3 Years,> 3 Years,2 Years,1 Year,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,11,Ite,Sales,Strrev( ),1,10.0,5,11 21 31 41,ls,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,120.0,11,B E,MAX_NUM is a precompiler constant.
109,11,No,< 3 Months,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern a int c:,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ite,Sales,None of the above,1,0.0,3,20 30 40 50,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 12,120.0,1,B E,MAX_NUM is a preprocessor macro.
79,17,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",,Error,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,Error,Ack,Sales,None of the above,1,10.0,3,20 30 40 50,ls,A B C,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,10,error,MAX_NUM is a preprocessor macro.
112,11,No,2 Years,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,,Double,Infinite number of times,1.0,25,Ink,Sales,Strrev( ),1,30.0,3,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,102.0,infinite loop,error,MAX_NUM is a precompiler constant.
96,11,"Yes, part-time",< 3 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,30.0,3,20 30 40 50,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,102.0,infinite loop,error,MAX_NUM is a precompiler constant.
52,12,No,> 3 Years,2 Years,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ite,Sales,None of the above,1,10.0,3,20 30 40 50,ls,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 11,120.0,1,B E,MAX_NUM is a precompiler constant.
115,12,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ack,Sales,Revstr( ),1,30.0,3,21 31 41 51,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,120.0,10,B E,MAX_NUM is a preprocessor macro.
110,12,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ite,Sales,Revstr( ),1,30.0,3,21 31 41 51,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,B E,MAX_NUM is a precompiler constant.
111,12,"Yes, part-time",> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,30.0,3,21 31 41 51,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,120.0,10,B E,MAX_NUM is a precompiler constant.
12,13,"Yes, part-time",> 3 Years,1 Year,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,30.0,3,11 21 31 41,Compilation Error,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,120.0,10,error,MAX_NUM is a preprocessor macro.
99,18,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,30.0,4,20 30 40 50,kills,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
101,19,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,30.0,4,20 30 40 50,ls,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
76,18,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",,0 0.000000,,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,4,20 30 40 50,ls,A B C,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
30,20,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ack,Sales,Strrev( ),1,10.0,3,20 30 40 50,ls,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
128,11,"Yes, part-time",6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ite,Sales,None of the above,1,30.0,4,20 30 40 50,Compilation Error,A B C,12,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,120.0,11,B E,MAX_NUM is a precompiler constant.
119,17,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,10.0,4,20 30 40 50,Compilation Error,error,12,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
92,8,No,2 Years,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern int a c;,Float,Infinite number of times,1.0,25,Ink,Sales,None of the above,1,30.0,4,11 21 31 41,Compilation Error,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,120.0,infinite loop,B E,MAX_NUM is a precompiler constant.
43,21,No,6 Months,6 Months,1 Year,6 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,11,Ink,Sales,Strrev( ),1,10.0,4,21 31 41 51,ls,error,13,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a preprocessor macro.
18,12,No,2 Years,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern int a c;,Float,Until the stack doesn't overflow,1.0,25,Let,Sales,None of the above,1,30.0,3,11 21 31 41,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,11,error,MAX_NUM is a preprocessor macro.
7,17,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",0 0.000000,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ack,Sales,Strrev( ),0,10.0,5,10 20 30 40,,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,,120.0,,error,MAX_NUM is a preprocessor macro.
120,16,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,11,Ink,Sales,None of the above,1,10.0,4,20 30 40 50,skills,error,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,120.0,10,error,MAX_NUM is a precompiler constant.
13,10,No,6 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise",,Garbage values,Typedef long a; extern a int c:,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ite,Sales,None of the above,0,30.0,3,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,22.0,10,error,MAX_NUM is a preprocessor macro.
53,10,No,> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,Error,Ack,Sales,None of the above,1,30.0,3,20 30 40 50,Compilation Error,error,none of these,1 2 3 4 5 6 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,120.0,infinite loop,B E,MAX_NUM is a precompiler constant.
16,6,"Yes, part-time",1 Year,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",None of the above,Typedef long a; extern int a c;,Double,Until the stack doesn't overflow,1.0,25,Ack,Sales man,Revstr( ),0,30.0,2,11 21 31 41,Compilation Error,A B C,none of these,1 2 3 4 5 6 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,102.0,1,B E,MAX_NUM is a preprocessor macro.
57,12,No,> 3 Years,> 3 Years,6 Months,< 3 Months,"Add breakpoints, Inspect the program variables",,Garbage values,Typedef long a; extern a c;,Long double,32767 times,1.0,11,,Sales,Strrev( ),1,,2,20 30 40 50,ls,A B C,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,,102.0,10,,MAX_NUM is a precompiler constant.
114,17,No,1 Year,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise","Add breakpoints, Execute the program stepwise",Garbage values,Typedef long a; extern a c;,Double,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,3,20 30 40 50,ls,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 11,120.0,1,error,MAX_NUM is a preprocessor macro.
93,13,No,> 3 Years,> 3 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ack,Sales,Strrev( ),1,30.0,4,20 30 40 50,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 11,102.0,10,error,MAX_NUM is a precompiler constant.
32,14,No,1 Year,1 Year,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise",Error,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,Error,Ink,Sales,None of the above,1,10.0,3,20 30 40 50,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello,1 1 1 10,1 12,120.0,1,error,MAX_NUM is a precompiler constant.
94,12,"Yes, full-time",1 Year,6 Months,6 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Execute the program stepwise, Inspect the call stack, Inspect the program variables",Error,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ack,Sales,Strrev( ),0,30.0,3,21 31 41 51,ls,error,none of these,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,102.0,infinite loop,error,MAX_NUM is a preprocessor macro.
97,12,No,< 3 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables",Add breakpoints,Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,Error,Ink,Sales,Revstr( ),1,10.0,3,20 30 40 50,Compilation Error,A B C,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,1,B E,MAX_NUM is a precompiler constant.
36,15,No,> 3 Years,> 3 Years,> 3 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,None of the above,1,30.0,3,20 30 40 50,Compilation Error,error,11,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a precompiler constant.
40,11,No,< 3 Months,6 Months,< 3 Months,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Add breakpoints, Execute the program stepwise",Garbage values,Typedef long a; extern a c;,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales man,Strrev( ),0,30.0,2,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,1,B E,MAX_NUM is a linker constant.
140,11,"Yes, part-time",> 3 Years,> 3 Years,2 Years,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack",Error,Typedef long a; extern a int c:,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,Error,Ack,Sales,Strstr( ),1,30.0,3,10 20 30 40,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,1,error,MAX_NUM is a precompiler constant.
122,12,No,> 3 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables",Garbage values,Typedef long a; extern a c;,Depends on the memory model you are using,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,30.0,3,10 20 30 40,ls,A B C,12,1 2 3 4 4 4 ...................infinite,None of the above,1 1 1 10,1 12,100.0,1,B E,MAX_NUM is a precompiler constant.
9,13,"Yes, part-time",6 Months,6 Months,< 3 Months,1 Year,"Add breakpoints, Execute the program stepwise, Inspect the program variables","Execute the program stepwise, Inspect the program variables",Garbage values,Typedef long a; extern a int c:,Float,Until the stack doesn't overflow,1.0,25,Ink,Sales,Strrev( ),1,10.0,3,21 31 41 51,Compilation Error,error,none of these,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,102.0,1,error,MAX_NUM is a precompiler constant.
55,17,No,2 Years,2 Years,1 Year,< 3 Months,"Add breakpoints, Execute the program stepwise, Inspect the call stack, Inspect the program variables","Add breakpoints, Execute the program stepwise, Inspect the program variables",0 0.000000,Typedef long a; extern a int c:,Float,Infinite number of times,1.0,11,Ink,Sales,Strstr( ),1,10.0,2,21 31 41 51,ls,error,12,1 2 3 4 4 4 ...................infinite,Hello Welcome Bye,1 1 1 10,1 12,120.0,10,error,MAX_NUM is a linker constant.
