id,Score,1. Will the expression *p=p be disallowed by the compiler?,2. Which of the following statement is correct about the program in Figure 1?,3. What will be the output of the program in Figure 2?,4. Which of the following is the correct way to declare a function pointer where 'pointer' is the pointer to the function and 'function' is the name of the function?,5. What is the meaning of: int (*ptr)[10]
42,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
93,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
79,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
17,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
60,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
14,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
103,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
84,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
9,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
106,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
34,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
43,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
52,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
82,5,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
53,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
83,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
92,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
86,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
12,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,Invalid statement
62,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
134,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
99,4,No,The code counts the number of lines in the file,Garbage value,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
74,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
128,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
36,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,Invalid statement
31,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
104,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
141,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is an array of 10 integers
61,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
26,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
64,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
28,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
27,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
97,4,No,The code counts the number of blank lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
123,4,Yes,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
69,4,No,The code counts the number of blank lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
85,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
41,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
39,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
11,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
63,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
96,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
7,4,No,The code counts the number of lines in the file,5,void function(*pointer) = int;,"ptr is an array of 10 elements, each element is a pointer to an integer"
76,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
145,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
59,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
98,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
57,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
6,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
142,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
91,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
68,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
120,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
116,4,No,The code counts the number of lines in the file,5,void function(*pointer) = int;,"ptr is an array of 10 elements, each element is a pointer to an integer"
72,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
38,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
65,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,Invalid statement
140,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
133,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
137,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
112,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
94,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
22,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,Invalid statement
29,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
127,4,Yes,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
117,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
132,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
18,4,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
87,4,Yes,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
110,4,Yes,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
24,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
151,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
101,4,Yes,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
105,4,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
152,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is an array of 10 integers
138,4,No,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
67,3,Yes,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
135,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
54,3,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
129,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is an array of 10 integers
55,3,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
32,3,Yes,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
144,3,No,The code counts the number of lines in the file,Error,,"ptr is an array of 10 elements, each element is a pointer to an integer"
125,3,No,The code counts the number of blank lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
131,3,No,The code counts the number of blank lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
126,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
95,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is an array of 10 integers
119,3,Yes,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
16,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,Invalid statement
5,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,Invalid statement
100,3,No,The code counts the number of lines in the file,Garbage value,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
21,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is an array of 10 integers
3,3,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
20,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is an array of 10 integers
50,3,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
33,3,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
40,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
107,3,Yes,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
146,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is an array of 10 integers
47,3,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,ptr is an array of 10 integers
124,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
48,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
71,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,Invalid statement
2,3,No,The code counts the number of lines in the file,Error,void &function(*pointer) = int;,"ptr is an array of 10 elements, each element is a pointer to an integer"
58,3,Yes,The code counts the number of lines in the file,5,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
75,3,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
1,3,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
44,3,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
139,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
121,3,Yes,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
149,3,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
89,3,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
80,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
143,3,No,The code counts the number of lines in the file,5,void function(*pointer) = int;,ptr is an array of 10 integers
147,3,Yes,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
25,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,Invalid statement
150,3,Yes,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
37,3,No,The code counts the number of lines in the file,Error,void &function(*pointer) = int;,"ptr is an array of 10 elements, each element is a pointer to an integer"
70,3,No,The code counts the number of lines in the file,Error,void function(*pointer) = int;,"ptr is an array of 10 elements, each element is a pointer to an integer"
115,3,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
90,3,Yes,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
88,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
15,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,Invalid statement
102,3,No,The code counts the number of characters in the file,Garbage value,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
109,3,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
30,3,No,The code counts the number of lines in the file,Garbage value,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
118,3,No,The code counts the number of lines in the file,5,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
122,3,No,The code counts the number of lines in the file,Garbage value,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
114,3,No,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
8,3,No,The code counts the number of lines in the file,Error,,"ptr is an array of 10 elements, each element is a pointer to an integer"
113,2,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
4,2,No,The code counts the number of lines in the file,Error,void function(*pointer) = int;,ptr is pointer to an array of 10 integers
51,2,Yes,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
77,2,No,The code counts the number of blank lines in the file,Error,void function(*pointer) = int;,"ptr is an array of 10 elements, each element is a pointer to an integer"
19,2,No,The code counts the number of lines in the file,Garbage value,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
73,2,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
45,2,No,The code counts the number of blank lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
46,2,Yes,The code counts the number of characters in the file,5,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
111,2,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
13,2,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
136,2,Yes,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
56,2,No,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,ptr is an array of 10 integers
66,2,No,The code counts the number of characters in the file,5,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
108,2,Yes,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
49,2,Yes,The code counts the number of words in the file,Garbage value,void (*pointer)(int) = &function;,"ptr is an array of 10 elements, each element is a pointer to an integer"
81,2,Yes,The code counts the number of lines in the file,Error,void (*pointer)(int) = &function;,ptr is pointer to an array of 10 integers
35,2,Yes,The code counts the number of lines in the file,Garbage value,void (*pointer)(int) = &function;,ptr is an array of 10 integers
130,1,No,The code counts the number of characters in the file,4,void (*pointer) = &(int)function;,ptr is an array of 10 integers
148,1,Yes,The code counts the number of blank lines in the file,Error,void (*pointer)(int) = &function;,Invalid statement
23,1,Yes,The code counts the number of lines in the file,Garbage value,void (*pointer) = &(int)function;,Invalid statement
10,1,Yes,The code counts the number of characters in the file,Error,void (*pointer)(int) = &function;,ptr is an array of 10 integers
78,1,Yes,The code counts the number of lines in the file,Error,void (*pointer) = &(int)function;,ptr is pointer to an array of 10 integers
